FULL
         1101039 function calls (1099943 primitive calls) in 1.686 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4030    0.861    0.000    0.915    0.000 dataset.py:151(getAttribRowDict)
     8784    0.324    0.000    0.325    0.000 dataset.py:344(getNumberOfAttrs)
     4030    0.102    0.000    0.377    0.000 dataset.py:225(getMinEntropyForColumn)
    32236    0.056    0.000    0.187    0.000 dataset.py:171(getEntropyForSplit)
   531957    0.053    0.000    0.053    0.000 {method 'append' of 'list' objects}
     4030    0.039    0.000    0.043    0.000 dataset.py:203(getCumulativeDict)
    32785    0.037    0.000    0.061    0.000 dataset.py:6(calculateEntropy)
    17446    0.033    0.000    0.035    0.000 dataset.py:284(splitDictToRows)
      549    0.028    0.000    0.029    0.000 dataset.py:112(getOverallEntropyAndMajorityElem)
    32236    0.027    0.000    0.027    0.000 dataset.py:183(<listcomp>)
    32236    0.025    0.000    0.033    0.000 dataset.py:175(<listcomp>)
    86982    0.023    0.000    0.023    0.000 {built-in method math.log2}
   167800    0.017    0.000    0.017    0.000 {built-in method builtins.len}
     4030    0.014    0.000    1.310    0.000 dataset.py:296(getSplitPointForColumn)
      274    0.011    0.000    1.321    0.005 dataset.py:316(getBestColumnAndSplit)
    87046    0.011    0.000    0.011    0.000 {method 'items' of 'dict' objects}
    32236    0.008    0.000    0.008    0.000 {built-in method builtins.sum}
      549    0.007    0.000    0.332    0.001 dataset.py:369(<listcomp>)
     8060    0.004    0.000    0.004    0.000 {method 'sort' of 'list' objects}
    549/1    0.003    0.000    1.686    1.686 classification.py:37(buildTree)
     8060    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
    549/1    0.001    0.000    1.686    1.686 classification.py:19(__init__)
     4030    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      549    0.001    0.000    0.333    0.001 dataset.py:366(getValidCols)
        1    0.000    0.000    1.686    1.686 {built-in method builtins.exec}
        1    0.000    0.000    1.686    1.686 classification.py:106(train)
        1    0.000    0.000    0.000    0.000 dataset.py:45(initFromData)
        1    0.000    0.000    1.686    1.686 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 dataset.py:14(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


         1101039 function calls (1099943 primitive calls) in 1.527 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4030    0.753    0.000    0.802    0.000 dataset.py:151(getAttribRowDict)
     8784    0.310    0.000    0.311    0.000 dataset.py:344(getNumberOfAttrs)
